	Query	Start_SPAligner	End_SPAligner	Path_SPAligner	Start_GraphAligner	End_GraphAligner	Path_GraphAligner	Start_SPAligner_GraphAligner	SPAlignerVSGraphAligner
33	gb|JX440351|+|1026-2172|ARO:3002096|CMY-83	1200	2291	1146	1202	2346	146006	1202	Different
34	gb|KF526113|+|0-1146|ARO:3002112|CMY-100	1200	2291	1146	1202	2346	146006	1202	Different
35	gb|KF526114|+|0-1146|ARO:3002113|CMY-101	1200	2291	1146	1202	2346	146006	1202	Different
36	gb|KF730243.1|+|0-1143|ARO:3004647|AQU-2	24878	25966	1143	24880	26021	2079546	24880	Different
37	gb|KF730244.1|+|0-1149|ARO:3004648|AQU-3	24878	25966	1149	24880	26021	2079546	24880	Different
38	gb|KF992025|+|1026-2172|ARO:3002106|CMY-93	1200	2291	1146	1202	2346	146006	1202	Different
39	gb|KJ207203|+|5-1151|ARO:3002095|CMY-82	1200	2291	1146	1202	2346	146006	1202	Different
40	gb|KU736867.1|+|19653-21573|ARO:3004442|tet(W/N/W)	564	2422	1920	566	2478	136860	566	Different
41	gb|L12710|+|0-549|ARO:3002556|AAC(6')-Ii	0	255	549	2	310	28611963	2	Different
42	gb|L42817|+|201-936|ARO:3000522|ErmG	1729,0	1954,266	735	0	0	0	1731, 2	Different
43	gb|M36726.1|+|295-1150|ARO:3000596|ErmX	233	1033	855	235	1088	39861	235	Different
44	gb|NC_000964.3|-|604735-606379|ARO:3004476|vmlR	28758	30347	1644	28760	30402	1985911	28760	Different
45	gb|U00096.3|-|3203309-3204131|ARO:3002986|bacA	0,0	502,214	822	2	557	245906	2, 2	Different
46	gb|U00096.3|-|4377810-4378944|ARO:3004290|Escherichia_coli_ampC	214	1293	1134	216	1348	24851	216	Different
47	gb|U00096.3|-|721055-721733|ARO:3003841|kdpE	194	812	678	196	872	75074	196	Different
48	gb|U00096|+|2367070-2368039|ARO:3003578|pmrF	1828	2742	969	1830	2797	116192	1830	Different
49	gb|U00096|-|2098446-2099613|ARO:3003577|ugd	522	677	1167	524	1689	827680, 120721	524	Different
50	gb|U38243|+|149-1115|ARO:3003001|CfxA	111	1022	966	113	1077	821183	113	Different
51	gb|U60294|+|0-765|ARO:3003099|cphA2	157109	157819	765	157111	157874	49189	157111	Different
52	gb|X02340.1|+|222-1194|ARO:3004089|ANT(3'')-IIa	377	1257	972	379	1312	28874510	379	Different
53	gb|X06599|+|272-1193|ARO:3002877|BcI	0	259	921	404	1324	5333, 192084, 29951, 183584, 187400	2	Different
